# ai（生成于 2026-08-03 04:25)
# 共找到 17 条有效线路

#genre#
四川联通,http://223.87.160.11:4022/rtp/239.0.0.10:5140 # 7.06 Mbps
天津移动,http://dav.7788aly.top:4022/rtp/225.2.1.120:5000 # 6.70 Mbps
江苏电信,http://nas.lyx2lsp.fun:7088/rtp/239.49.8.19:9614 # 6.17 Mbps
江苏电信,http://27691c27e.zicp.fun:4000/rtp/239.49.8.19:9614 # 5.42 Mbps
广东电信,http://home.szjim.top:4000/rtp/239.77.0.86:5146 # 5.21 Mbps
广东电信,http://autumnfish.myds.me:7088/rtp/239.77.0.86:5146 # 5.19 Mbps
江苏电信,http://th.galgames.fun:4022/rtp/239.49.8.19:9614 # 4.72 Mbps
江苏电信,http://wxjycg.familyds.com:7088/rtp/239.49.8.19:9614 # 4.34 Mbps
广西电信,http://feiguoicloud.cn:8088/rtp/239.81.0.102:4056 # 4.24 Mbps
江苏电信,http://180.106.255.16:12123/rtp/239.49.8.19:9614 # 4.16 Mbps
江苏电信,http://117.62.108.85:4022/rtp/239.49.8.19:9614 # 4.16 Mbps
广西电信,http://feiguoyun.top:8088/rtp/239.81.0.102:4056 # 4.14 Mbps
福建电信,http://oiio.top:4000/rtp/239.61.3.61:9884 # 4.12 Mbps
湖北电信,http://zyhfm.com:8088/rtp/239.254.96.96:8550 # 1.99 Mbps
湖北电信,http://www.zyhfm.com:8088/rtp/239.254.96.96:8550 # 1.98 Mbps
河北电信,http://152.136.206.67:31481/rtp/239.254.200.45:8008 # 1.57 Mbps
湖北电信,http://492910183.xyz:7088/rtp/239.254.96.96:8550 # 0.73 Mbps
